Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Инженер SIEM,Финансовая организация,Опыт перехода MaxPatrol SIEM с Windows на Linux будет являться преимуществом. Требования: Опыт работы с MaxPatrol SIEM от 3 лет. ,Обязанности (по работе с MaxPatrol SIEM 10): Создание/изменение и обработка ошибок правил корреляции,250000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120490653,120490653
Сетевой инженер,Трест СЗМА,Наличие профильного высшего или средне-специального образования. Релевантный опыт работы не менее 2-х лет,"Администрирование сетевого оборудования АСУТП (управляемые, неуправляемые коммутаторы, модемы, роутеры). Администрирование IР-телефонии",180000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120592478,120592478
Сетевой инженер,Совкомбанк Технологии,"Опыт работы в аналогичной сфере от 1 лет. Знание принципов коммутации и маршрутизации знание протоколов динамической маршрутизации OSPF, BGP. ",Администрировании корпоративной сети и сервисов. Настройка и сопровождение сетевого оборудования. Выявление и устранение неисправностей.,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/119067347,119067347
Rust инженер (Tatlin Backup),YADRO,Опыт разработки на языке Rust. Опыт разработки на Linux. Будет плюсом: Владение практическим применением асинхронного программирования. Программируете под Linux kernel. ,"Разрабатывать новую СХД, систему хранения данных. Принимать участие в разработке архитектуры. Писать спецификации на изменения в коде. Документировать результат работы. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/119555193,119555193
Сетевой инженер,Sintec Group,"Опыт построения и работы с multiarea OSPF + iBGP. - Опыт проектирования ядра сети, для работы с multiarea OSPF + iBGP. - ","Администрирование сетевого оборудования, настройка пограничного оборудования. - Мониторинг работоспособности сети. - Подготовка и ведение проектов",200000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120687701,120687701
Техник по информационной безопасности,СПб ГБУЗ Городская Мариинская больница,Знание ОС Астра Линукс приветствуется,Оформление и переоформление электронных подписей сотрудников организации. Создание/настройка прав пользователей в информационных системах,70000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120799632,120799632
Аналитик по информационной безопасности,МФК Саммит,"Практический опыт выявления, реагирования и расследования инцидентов ИБ. Опыт работать с различными SIEM-системами. Знание основных типов атак и уязвимостей. ",Анализ и расследования инцидентов ИБ. Реагирование на инциденты ИБ. Проактивный поиск и обнаружение угроз. Киберкриминалистика инцидентов ИБ,80000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120453228,120453228
Ведущий специалист группы по промышленной безопасности проектного офиса ГХК,ЛУКОЙЛ,Высшее (техническое) образование. Стаж работы по специальности не менее 3 лет.,,120000 - 160000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120775259,120775259
Ведущий системный администратор,Научно-Производственное Объединение Элсиб,"Высшее образование (техническое). Знание принципов функционирования персонального компьютера, сервера, периферийных устройств, сетей передачи данных",Установка на сервера и рабочие станции операционных систем. Поддержка работоспособности ОС и ПО серверов и рабочих станций,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/111923072,111923072
Главный специалист отдела внедрения СЗИ и аттестации ГБУ РА «ЦПТО»,Государственное бюджетное учреждение Республики Адыгея Центр программно-технического обеспечения,Знание действующих федеральных нормативно-правовых актов и методических документов по информационной безопасности,Государственное бюджетное учреждение Республики Адыгея «Центр программно-технического обеспечения» (ГБУ РА «ЦПТО») активно решает следующие задачи: 1,110000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/119460344,119460344
